,Filename,Date,Entity name,Order type,Text
ALASKA ORDER # 02-04 S
Page 4
V/ 1
"
11,02-01-S, 11/6/01, Coastal Resources Corporation, Final Order,"1
STATE OF ALASKA
DEPARTMENT OF COMMUNITY AND ECONOMIC DEVELOPMENT
2
DIVISION OF BANKING, SECURITIES, AND CORPORATIONS
P.O. BOX 110807
3
JUNEAU, ALASKA 99811-0807
4
In the Matter of:
)
5
)
Coastal Resources Corporation,
)
6
Richard F. O'Connor, its president
)
and CEO, and Rose Conant, its
)
Alaska Order No. 02-01 S
7
secretary,
8
Respondents.
)
)
9
)
10
FINAL ORDER TO CEASE AND DESIST
AND TO IMPOSE CIVIL FINE
11
12
FACTUAL ALLEGATIONS
13
1. The Division of Banking, Securities, and Corporations (division) within the
14
Department of Community and Economic Development is charged with enforcement of the
15
Alaska Securities Act (Act).
16
2. Respondent Coastal Resources Corporation (Coastal Resources) is a
17
California corporation, whose mailing address is 33971 Selva Road, Suite 230, Dana Point
18
CA 92629 and whose alternate address is 16 Technology, #130, Irvine, CA 92616.
19
Respondent Richard F. O'Connor (O'Connor) is the corporation's president and chief
20
executive officer whose business address is the same as the corporation. Respondent
21
Rose Conant (Conant) is the corporate secretary whose business address is the same as
22
the corporation.
23
3. A corporation wishing to sell securities in Alaska must be registered under AS
24
45.55.070 or receive an exemption under AS 45.55.900 before any sales can be made.
25
4. JG of Anchorage is an Alaskan purchaser of Coastal Resource stock.
ALASKA ORDER # 02-01 S
Page 1
VI
1
5. Some time during the summer of 2000, KK, an acquaintance of JG, told JG o
2
the existence of Coastal Resources and recommended he buy the stock. He placed JG in
3
touch with O'Connor in order to make the purchase.
4
6. On September 7, 2000, JG paid to Coastal Resources $50,000 by personal
5
check made out to a bank in California. On November 16, 2000, JG sent another check in
6
the amount of $10,000 made payable personally to Rose Conant. JG received stock
7
certificates confirming his purchases signed by O'Connor and Conant. These are
8
certificate 209 dated September 8, 2000 for 50,000 shares and certificate 276 dated
9
November 16, 2000 for 10,000 shares.
10
7. A search of division records reveals no registration or exemption applied for
11
by Coastal Resources Corporation.
12
8. A search of the internet revealed a listing for Richard F. O'Connor, consisting
13
of a press release reporting a cease and desist Order issued by the Pennsylvania
14
Securities Commission in October 1999. A telephone check with Pennsylvania determined
15
that there had been no response whatsoever to the Order. There were no regular
16
registrations for Richard F. O'Connor or for Rose Conant.
17
9. On the web site for Coastal Resources Corporation (reachable at the URL
18
Ittp://www.coastalresourcesinc.com/), there is biographical information on Mr. O'Connor
19
containing the following:
20
""Mr. O'Connor has extensive marketing experience in developing and
assisting small to mid-size companies in private placement funding,
21
as well as assisting companies in the process of going public.'
22
Thus, Mr. O'Connor has experience in the field of securities, and should have known that
23
registration or exemption was required for the securities and that any person selling
24
securities has to be registered as an agent.
25
10. The division made repeated calls to Richard O'Connor and the other
ALASKA ORDER # 02-01 S
Page 2
VIL
1
Respondent and despite assurances that he would return calls, none ever were. It thus
2
became necessary to issue the Temporary Order without notice to the Respondents.
3
CONCLUSIONS OF LAW
4
11. Two sales of unregistered securities took place in Alaska in violation of
5
AS 45.55.070. Because of O'Connor's purported experience in the field and because there
6
was a prior order from Pennsylvania on the same issue, these sales were made with
7
knowledge of their illegality.
8
12. Sales were effected by unregistered individuals acting as agents in violation
9
of AS 45.55.030. Because of O'Connor's purported experience and because there was a
10
prior order from Pennsylvania on the same issue, these sales were made with knowledge
11
that the offerings were required to have either registration or exemption as required by
12
AS 45.55.030.
13
13. Respondent O'Connor and Respondent Coastal Resources are deemed
to
14
have made knowing, intentional sales of unregistered securities by unregistered persons by
15
virtue of O'Connor's purported experience in securities matters, which experience is
16
attributed to the corporation as O'Connor serves as its president and CEO.
17
14. By virtue of not disclosing the existence of the 1999 Pennsylvania Order,
18
Respondents Coastal Resources, O'Connor, and Conant have perpetrated a fraud in
19
violation of AS 45.55.010.
20
15. Because JG was directed to make his check out to Rose Conant person-
21
ally and did, Respondent Conant perpetrated a fraud on JG, in violation of AS 45.55.010.
22
LAW
23
See Appendix ""1"" attached to the Temporary Order and served with that Order for a
24
recitation of the statutes and regulations cited in this Final Order.
25
ALASKA ORDER # 02-01 S
Page 3
VILI
1
FINAL CEASE AND DESIST
ORDER AND IMPOSITION OF CIVIL FINES
2
16. Under AS 45.55.920(a)(1), based on the facts alleged in this Order, the
3
Administrator finds that the Respondents have engaged in multiple, knowing violations of
4
the Alaska Securities Act and that it is in the public interest to issue this Order.
5
17. Under AS $45.55.920(a)(1)(A), Respondents Coastal Resources Corporation
6
Richard F. O'Connor, and Rose Conant are ordered to cease and desist from selling
7
unregistered securities, and from all other unlawful acts and practices. Respondents
8
Coastal Resources, O'Connor, and Conant are also ordered to cease and desist from any
9
future violation of the Alaska Securities Act.
10
18. Under AS 45.55.920(b), Respondent Coastal Resources is subject to pay a
11
civil fine of $25,000 for knowing, multiple violations of AS 45.55.030.
12
19. Under AS 45.55.920(b), Respondent Coastal Resources is subject to pay a
13
civil fine of $25,000 for knowing, multiple violations of AS 45.55.070.
14
20. Under AS 45.55.920(b), Respondent O'Connor is subject to pay a civil fine O
15
$25,000 for multiple, knowing violations of AS 45.55.010.
16
21. Under AS 45.55.920(b), Respondent O'Connor is subject to pay a civil fine O:
17
$25,000 for knowing, multiple violations of AS 45.55.030.
18
22. Under AS 45.55.920(b), Respondent O'Connor is subject to pay a civil fine of
19
$25,000 for multiple, knowing violations of AS 45.55.070.
20
23. Under AS 45.55.920(c), Respondent Conant subject to pay a civil fine of
21
$5,000 for multiple violations of AS 45.55.010.
22
24. Under AS 45.55.920(c), Respondent Conant subject to pay a civil fine of
23
$5,000 for multiple violations of AS 45.55.030.
24
25. Under AS 45.55.920(c), Respondent Conant subject to pay a civil fine of
25
ALASKA ORDER # 02-01 S
Page 4
VI 11
1
$5,000 for multiple violations of AS 45.55.070.
2
26. Respondent Coastal Resources, Inc. was served by certified mail delivered
3
to its registered agent on August 24, 2001. Coastal Resources never responded.
4
27. Respondents O'Connor and Conant were served by personal service on
5
October 12, 2001, and never responded.
6
28. Under AS 45.55.920(d), this Cease and Desist Order is made a Final Order
7
of the Administrator because more than 15 days have elapsed since the Orders were
8
served and no hearing was requested within the time frame allowed by AS 45.55.920(d) as
9
stated in the Temporary Order.
10
29. This Final Order of the Administrator shall remain in effect until superseded
11
by law or withdrawn by the Administrator.
12
Entered at Juneau, Alaska this 6th day of November, 2001.
13
14
/s/ Franklin T. Elder
-
15
Franklin T. Elder
Administrator of Securities
16
Contact Person:
17
Vincent L. Usera
18
Senior Securities Examiner
(907) 465-2521
19
20
21
22
23
24
25
ALASKA ORDER # 02-01 S
Page 5
VI 11
"
12,02-03-S, 1/30/02, DBA, Final Order to Cease and Desist and Imposing Civil Fine,
13,02-09-S, 6/20/02, Kake Tribal Corporation, Consent Agreement,
14,02-10-S, 08/04/02, Merrill Lynch, Administrative Consent Order,
15,03-06-S, 10/15/02, Kenai Natives Association, Consent Agreement,
16,03-12-S, 12/3/03, Daymond K. Geary, Consent Agreement,
17,04-09-S, 10/30/03, Citigroup GLoan Originatorbal Markets, Consent Order,"1
STATE OF ALASKA
DEPARTMENT OF COMMUNITY AND ECONOMIC DEVELOPMENT
2
DIVISION OF BANKING, SECURITIES, AND CORPORATIONS
P.O. BOX 110807
3
JUNEAU, ALASKA 99811-0807
In the matter of
4
)
)
Alaska Order 04-09 S
CITIGROUP GLOBAL MARKETS INC.
)
5
(formerly known as Salomon Smith Barney
)
Inc.)
)
CONSENT ORDER
6
388 Greenwich Street
)
New York, New York 10013,
)
7
)
Respondent.
)
8
)
9
WHEREAS, SSB now known as Citigroup Global is a broker-dealer registered in the state
of Alaska; and
10
WHEREAS, an investigation into the practices, procedures and conduct of Salomon Smith
11
Barney Inc. (""SSB""¹ respecting: (a) the preparation and issuance by SSB's U.S. equity research
analysts (""Research Analysts"") of research, analysis, ratings, recommendations and
12
communications concerning common stocks of publicly traded companies covered by such
analysts (""Research Coverage""), during the period 1999 through June 2002, including without
13
limitation, commencement and discontinuance of Research Coverage, actual or potential conflicts
of interests affecting Research Coverage, Research Analysts or termination of Research Analysts,
and misleading statements, opinions, representations or non-disclosure of material facts in
14
Research Coverage; (b) the allocation by SSB and its predecessor Salomon Brothers, Inc. of
stock from initial public offerings that traded at a premium in the secondary market when trading in
15
the secondary market begins and spinning by SSB (i.e., allocating such offerings as preferential
treatment to officers and directors of companies having or potentially having investment banking
16
business with SSB), during the period 1996 through 2001 (""IPO Allocations) and; (c) any other
conduct referred to in the Findings of Fact set forth below in paragraphs 3 through 153 has been
17
conducted by a multi-state task force of which Alaska was a part (the ""Investigation""); and
18
WHEREAS, the Investigation was conducted in connection with a joint task force of the
U.S. Securities and Exchange Commission, the New York Stock Exchange, and the National
19
Association of Securities Dealers (together, with the multi-state task force referred to above, the
""regulators""); and
20
WHEREAS, the New York AG and Citigroup Global have previously entered into an
21
Assurance of Discontinuance, dated April 24, 2003 (the ""New York Assurance of Discontinuance""), a
copy of which has been provided to the Alaska division of banking, securities, and corporations
22
(division) concerning the practices, policies and procedures of SSB which were the subject of the
Investigation; and
23
24
1
On or about April 7, 2003, SSB changed its name to Citigroup Global Markets Inc. (""Citigroup
25
Global""). The U.S. Equity Research of SSB continues as part of Citigroup Global. Since the matters which
were the subject of the Investigations occurred prior to the name change, the Findings of Fact herein
generally refer to SSB.
1
WHEREAS, SSB has cooperated with regulators conducting the investigations by
responding to inquiries, providing documentary evidence and other materials, and providing
2
regulators with access to facts relating to the Investigation; and
3
WHEREAS, Citigroup Global has advised regulators of its agreement to resolve the
Investigation; and
4
WHEREAS,
Citigroup
Global
agrees
to
implement
certain
changes
with
respect
to
researc
and stock allocation practices, and to make certain payments; and
5
WHEREAS, Citigroup Global elects to permanently waive any right to a hearing and appea
6
under the Alaska Securities Act with respect to this administrative Consent Order (the ""Order"");
7
NOW, THEREFORE, the division, as administrator of the Alaska Securities Act (Act),
hereby enters this Order:
8
I. FINDINGS OF FACT
9
A. Summary and Jurisdiction
10
1. Citigroup Global is, and under its former name SSB was, at all relevant times, a registered
11
broker-dealer with its principal place of business located at 388 Greenwich Street, New York, Nev
York 10013. SSB has engaged and Citigroup Global continues to be engaged, in a full-service
12
securities business, including institutional and retail sales, investment banking services, trading
and research.
13
2. The division has jurisdiction over this matter pursuant to the Act.
14
3. In 1999, 2000, and 2001 (the ""relevant period""), as described below, SSB issued research
15
reports on two telecommunications (""telecom"") companies that were fraudulent and issued
research reports on several telecom companies that were misleading.
16
4. During the relevant period, SSB employed business practices that required research analysts
to promote SSB's investment banking efforts. Research alone did not generate substantial profit
17
for SSB; investment banking did, and it needed the services of research analysts to do so.
Research analysts were expected to vet prospective investment banking deals, promote SSB's
18
investment banking business to issuers during pitches, and market investment banking deals to
SSB's customers. When SSB secured investment banking business, research analysts were
19
expected to provide favorable coverage of SSB's investment banking clients. Important factors i
evaluating an analyst's performance and determining an analyst's compensation at SSB were
20
investment banker evaluations and investment banking revenues generated in an analyst's secto
These business practices created a culture in which investment bankers could and did pressure
21
research analysts to maintain coverage or favorable ratings for investment banking clients and
created the incentive for analysts to use research to obtain, retain and increase revenue from
22
investment banking deals. SSB failed to manage the conflicts created by its practices.
23
5. Jack Grubman was the linchpin for SSB's investment banking efforts in the telecom sector.
was the preeminent telecom analyst in the industry, and telecom was of critical importance to SS
His approval and favorable view were important for SSB to obtain investment banking business
24
from telecom companies in his sector. In total, SSB earned more than $790 million in investmer
banking revenue during the relevant period from telecom companies Grubman covered. Given
25
Grubman's key role in SSB's investment banking success in the telecom sector, SSB compensa
him handsomely. During the relevant period, Grubman was one of the most highly paid researc
1
analysts at SSB and on Wall Street. Between 1999 and August 2002, when he left the firm,
Grubman's total compensation exceeded $67.5 million, including his multi-million dollar severance
2
package.
3
6. During the relevant period, SSB and Grubman published fraudulent research reports on Focal
Communications and Metromedia Fiber Networks, as set forth below. These reports were contrary
4
to the true views Grubman and another analyst on his team privately expressed, presented an
optimistic picture that overlooked and minimized the risk of investing in these companies, predicted
5
substantial growth in the companies' revenues and earnings without a reasonable basis, did not
disclose material facts about these companies, and contained material misstatements about the
companies.
6
7. Moreover, SSB and Grubman also published certain research reports that were misleading. In
7
April 2001, Grubman expressed a need to downgrade six telecom companies (Level 3
Communications, Williams Communications Group, XO Communications, Focal, Adelphia
8
Business Solutions, and RCN Communications). Investment bankers pressured Grubman not to
downgrade these companies and Grubman did not. He continued to advise investors to buy these
9
stocks, and did not disclose the influence of investment bankers on his ratings. In addition, a
research report on Williams Communications lacked a reasonable basis because it did not disclose
10
the true views Grubman and others on his team privately expressed at the same time about the
company and certain research reports on Focal failed to disclose facts as described below.
11
8. In November 1999, Grubman upgraded AT&T from a Neutral (3) - his longtime rating on the
12
stock -- to a Buy (1). SSB and Grubman did not disclose in the report that Grubman had a conflict
of interest relating to his evaluation of AT&T. Prior to the upgrade, Sanford I. Weill (""Weill""), the co-
13
CEO and Chairman of Citigroup (and a member of the AT&T board of directors), had asked
Grubman to take a ""fresh look"" at AT&T, and Grubman had asked Weill for assistance in gaining
admission for his children to the selective 92nd Street Y preschool in New York City at the same
14
time Grubman was conducting his ""fresh look"" at the company. Subsequently, Grubman stated
privately that he had upgraded AT&T to help his children get into the 92nd Street Y preschool.
15
After Grubman upgraded AT&T and his children were admitted to the preschool, Weill arranged a
pledge of $1 million payable in equal amounts over five years from Citigroup to the 92nd Street Y.
16
9. Grubman's upgrade of AT&T also helped SSB gain investment banking business from AT&T.
17
In late fall 1999, AT&T determined to make an initial public offering (""IPO"") of a tracking stock for its
wireless unit - the largest equity offering in the United States. In February 2000, AT&T named
18
SSB as one of the lead underwriters and joint book-runners for the IPO, in large part because of
Grubman's ""strong buy"" rating of, and ""strong support"" for, AT&T. SSB earned $63 million in
19
investment banking fees from this engagement.
20
10. During the period 1996 through 2000, SSB engaged in improper spinning practices by
allocating hot IPO shares² to executives of current or potential investment banking clients and
21
providing special treatment for these executives. The executives profited significantly from selling
IPO stock allocated to them. The investment banking business generated by the firms for which
these executives worked represented a substantial portion of SSB's revenues during this period.
22
11. Additionally, SSB failed to maintain books and records sufficient to determine whether or not
23
the distribution of IPO shares had been completed prior to the initiation of secondary market
trading. Further, SSB failed to administer Issuer Directed Share Programs appropriately and failed
24
25
2
A ""hot IPO"" is one that trades at a premium in the secondary market whenever trading in the
secondary market begins.
1
to establish and maintain written supervisory procedures for the appropriate management of such
programs.
2
B. SSB Failed to Manage Conflicts of Interest Between Research and Investment Banking
3
13. SSB's business practices intertwined research with investment banking, thus creating the
4
vehicle for investment banking to exert inappropriate influence over research analysts. SSB failed
to manage the resulting conflicts of interest in an adequate or appropriate manner.
5
1. SSB's Business Practices Required Research Analysts to Support Investment
Bankers
6
14. Companies paid SSB's investment bankers to assist them with (a) capital raising activities such
7
as IPOs, ""follow on"" offerings (subsequent offerings of stock to the public), and private placements
of stock, and (b) other corporate transactions, such as mergers and acquisitions. During the
8
relevant period, investment banking was an important source of revenue for SSB; revenues from
investment banking grew from approximately $3.0 billion in 1999, to approximately $3.6 billion in
9
2000, and to approximately $3.9 billion in 2001. Investment banking fees comprised over 21% of
SSB's revenue in 1999, over 22% in 2000, and over 25% in 2001.
10
15. SSB's equity research analysts provided SSB's investing clients and the public with research
11
reports on certain public companies. SSB held out its research analysts as providing independent,
objective and unbiased information, reports, ratings, and recommendations upon which investors
12
could rely in reaching investment decisions. SSB distributed its analysts' reports to its clients
directly and by placing the reports on ils website.
13
16. At SSB, research was a cost center. In contrast, investment banking generated substantial
profits for SSB. To leverage its research, SSB required research analysts to serve, among others,
14
investment banking. Accordingly,
SSB expected research analysts to prepare business plans each year that, among
15
other things, highlighted what the research analysts had done and would do to help
SSB's investment bankers;
16
SSB's research analysts were encouraged to develop investment banking business
from issuers and private companies in their sectors;
17
SSB's research analysts were expected to support investment banking by pitching
business to prospective clients and marketing investment banking deals to
18
institutional customers through roadshows;
Investment banking concerns sometimes affected research analysts' decisions to
19
initiate coverage, rate companies, and drop coverage. SSB's research analysts
were generally expected to initiate coverage of SSB's investment banking clients
20
with favorable ratings;
Investment bankers reviewed the performance of the principal research analysts in
21
their sector as part of the analysts' annual review; and
Investment banking revenue generated in an analyst's sector and attributable to an
22
analyst was an important factor SSB used to evaluate an analyst's performance and
determine an analyst's compensation.
23
17. This integration of research analysts with investment banking was an SSB objective. In a
24
January 1998 presentation to senior management at Travelers Corporation, then the parent of
SSB, the head of SSB wrote: ""There is a continuing shift in the realization that an analyst is the
25
key element in banking success."" Underscoring the same theme two years later, on December 8,
2000, the head of SSB's Global Equity Research wrote to the CEO of SSB that one of his goals
1
since becoming global head of research was ""to better integrate our research product with the
business development plans of our constituencies, particularly investment banking
2
18. In reviewing his performance for 2000, the head of SSB's Global Equity Research stated:
3
We have become much more closely linked to investment banking this year
4
as a result of participating in their much-improved franchise review process
this year. There has been a yearend [sic] cross review of senior analysts
and bankers particularly in the U.S. and Europe and with the development
5
of the Platinum Program in the investment bank, the analyst's
understanding of the relative importance of clients for IB [investment
6
banking] and GRB [global relationship bank] is much improved.
7
19. In January 2000, SSB held a ""Best Practices Seminar"" for research analysts that was hosted
by the head of U.S. Equity Research Management. At that seminar, a senior member of Research
8
Management stated:
9
[W]hen you look at the market share gap between us and the three
competitors who are trying to close. When I just eyeballed it, it looked like to
10
me there is something like roughly a billion dollars of, maybe not Equity
Capital Markets but Investment Banking revenues, on the table for this firm.
11
And that's a lot of money.
And its clear that Research is driving a lot of this increasingly. And
12
therefore, as a [research] department our goal has to be, to be a really
effective partner in terms of helping drive initiation, execution and everything
13
else. Because there is a lot of money on the table for this company. And
we'll all benefit from it.
14
2. SSB Analysts Helped Investment Bankers Identify and Obtain Business
15
20. Research analysts at SSB helped investment banking by identifying prospective clients and
mandates and by participating in sales ""pitches"" for investment banking business. SSB bankers
16
would not pitch for investment banking business unless they knew the SSB analyst who would
cover the company was going to support the proposed deal.
17
21. SSB's pitchbooks to potential investment banking clients routinely highlighted the experience
18
and qualifications of the lead analyst in the company's sector and how the analyst would help
market the proposed deal. During the ""pitch"" process, SSB conveyed that its research analysts
19
would cover the company if the company gave it investment banking business, and analysts
frequently attended the ""pitch"" sessions. Once a company selected SSB as the underwriter, SSB
20
analysts worked together with investment bankers to (among other things) perform due diligence
on the deal and take the company executives out on ""roadshows"" to market the potential
transaction to institutional investors.
21
22
22. During the relevant period, all parties involved - the analyst, the firm, and the issuer -
understood that the analyst would initiate coverage of the company if SSB was given investment
banking business and would initially rate the company favorably.
23
3. SSB's Research Analysts Supported Investment Banking Through Their Ratings
24
and Coverage
25
23. SSB encouraged analysts to support SSB's investment banking business through their ratings.
